water waters watered
wave waves waved
wax waxes waxed
waylay waylays waylaid
wear wears wore
weave weaves wove
wed weds wed
weep weeps wept
weigh weighs weighed
welcome welcomes welcomed
wet wets wet
whip whips whipped
whisper whispers whispered
win wins won
wind winds wound
wish wishes wished
withdraw withdraws withdrew
work works worked
worry worries worried
worship worships worshipped
wring wrings wrung
write writes wrote
yawn yawns yawned
yell yells yelled
yield yields yielded
zoom zooms zoomed
